Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office,Notes,V1,Website.y,Web.Group,Residents.Vaccinated,Staff.Vaccinated,Community.Active
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-17,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2418,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2985,1244,83
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-19,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2431,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3056,1252,83
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-21,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2453,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3080,1273,73
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-23,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2454,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3104,1286,73
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-24,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2450,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3101,1286,71
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-26,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2438,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3167,1302,68
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-30,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2437,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3223,1319,64
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-31,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2434,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3221,1319,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-02,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2415,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3250,1320,62
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-04,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2440,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3258,1320,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-06,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2437,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3264,1320,68
